"time","tank1.h","tank2.h","der(tank1.h)","der(tank2.h)","tank2.Q1","tank2.T","tank1.Qo","tank1.flowConnect.F","tank2.flowConnect.F"
0.236,0.472,0,2,0,0,10000000,0,0,0
0.238,0.476,0,2,0,0,10000000,0,0,0
0.24,0.48,0,2,0,0,10000000,0,0,0
0.242,0.484,0,2,0,0,10000000,0,0,0
0.244,0.488,0,2,0,0,10000000,0,0,0
0.246,0.492,0,2,0,0,10000000,0,0,0
0.248,0.496,0,2,0,0,10000000,0,0,0
0.25,0.5,0,2,0,0,10000000,0,0,0
0.252,0.504,0,2,0,0,10000000,0,0,0
0.254,0.508,0,2,0,0,10000000,0,0,0
0.256,0.512,0,2,0,0,10000000,0,0,0
0.258,0.516,0,2,0,0,10000000,0,0,0
0.26,0.52,0,2,0,0,10000000,0,0,0
0.262,0.524,0,2,0,0,10000000,0,0,0
0.264,0.528,0,2,0,0,10000000,0,0,0
0.266,0.532,0,2,0,0,10000000,0,0,0
0.268,0.536,0,2,0,0,10000000,0,0,0
0.27,0.54,0,2,0,0,10000000,0,0,0
0.272,0.544,0,2,0,0,10000000,0,0,0
0.274,0.548,0,2,0,0,10000000,0,0,0
0.276,0.552,0,2,0,0,10000000,0,0,0
0.278,0.556,0,2,0,0,10000000,0,0,0
0.28,0.5600000000000001,0,2,0,0,10000000,0,0,0
0.282,0.5639999999999999,0,2,0,0,10000000,0,0,0
0.284,0.5679999999999999,0,2,0,0,10000000,0,0,0
0.286,0.572,0,2,0,0,10000000,0,0,0
0.288,0.576,0,2,0,0,10000000,0,0,0
0.29,0.58,0,2,0,0,10000000,0,0,0
0.292,0.584,0,2,0,0,10000000,0,0,0
0.294,0.588,0,2,0,0,10000000,0,0,0
0.296,0.592,0,2,0,0,10000000,0,0,0
0.298,0.596,0,2,0,0,10000000,0,0,0
0.3,0.6,0,2,0,0,10000000,0,0,0
0.302,0.604,0,2,0,0,10000000,0,0,0
0.304,0.608,0,2,0,0,10000000,0,0,0
0.306,0.612,0,2,0,0,10000000,0,0,0
0.308,0.616,0,2,0,0,10000000,0,0,0
0.31,0.62,0,2,0,0,10000000,0,0,0
0.312,0.624,0,2,0,0,10000000,0,0,0
0.314,0.628,0,2,0,0,10000000,0,0,0
0.316,0.632,0,2,0,0,10000000,0,0,0
0.318,0.636,0,2,0,0,10000000,0,0,0
0.32,0.64,0,2,0,0,10000000,0,0,0
0.322,0.644,0,2,0,0,10000000,0,0,0
0.324,0.648,0,2,0,0,10000000,0,0,0
0.326,0.652,0,2,0,0,10000000,0,0,0
0.328,0.656,0,2,0,0,10000000,0,0,0
0.33,0.66,0,2,0,0,10000000,0,0,0
0.332,0.664,0,2,0,0,10000000,0,0,0
0.334,0.668,0,2,0,0,10000000,0,0,0
0.336,0.672,0,2,0,0,10000000,0,0,0
0.338,0.676,0,2,0,0,10000000,0,0,0
0.34,0.68,0,2,0,0,10000000,0,0,0
0.342,0.6840000000000001,0,2,0,0,10000000,0,0,0
0.344,0.6879999999999999,0,2,0,0,10000000,0,0,0
0.346,0.6919999999999999,0,2,0,0,10000000,0,0,0
0.348,0.696,0,2,0,0,10000000,0,0,0
0.35,0.7,0,2,0,0,10000000,0,0,0
0.352,0.704,0,2,0,0,10000000,0,0,0
0.354,0.708,0,2,0,0,10000000,0,0,0
0.356,0.712,0,2,0,0,10000000,0,0,0
0.358,0.716,0,2,0,0,10000000,0,0,0
0.36,0.72,0,2,0,0,10000000,0,0,0
0.362,0.724,0,2,0,0,10000000,0,0,0
0.364,0.728,0,2,0,0,10000000,0,0,0
0.366,0.732,0,2,0,0,10000000,0,0,0
0.368,0.736,0,2,0,0,10000000,0,0,0
0.37,0.74,0,2,0,0,10000000,0,0,0
0.372,0.744,0,2,0,0,10000000,0,0,0
0.374,0.748,0,2,0,0,10000000,0,0,0
0.376,0.752,0,2,0,0,10000000,0,0,0
0.378,0.756,0,2,0,0,10000000,0,0,0
0.38,0.76,0,2,0,0,10000000,0,0,0
0.382,0.764,0,2,0,0,10000000,0,0,0
0.384,0.768,0,2,0,0,10000000,0,0,0
0.386,0.772,0,2,0,0,10000000,0,0,0
0.388,0.776,0,2,0,0,10000000,0,0,0
0.39,0.78,0,2,0,0,10000000,0,0,0
0.392,0.784,0,2,0,0,10000000,0,0,0
0.394,0.788,0,2,0,0,10000000,0,0,0
0.396,0.792,0,2,0,0,10000000,0,0,0
0.398,0.796,0,2,0,0,10000000,0,0,0
0.4,0.8,0,2,0,0,10000000,0,0,0
0.402,0.804,0,2,0,0,10000000,0,0,0
0.404,0.8080000000000001,0,2,0,0,10000000,0,0,0
0.406,0.8120000000000001,0,2,0,0,10000000,0,0,0
0.408,0.8159999999999999,0,2,0,0,10000000,0,0,0
0.41,0.82,0,2,0,0,10000000,0,0,0
0.412,0.824,0,2,0,0,10000000,0,0,0
0.414,0.828,0,2,0,0,10000000,0,0,0
0.416,0.832,0,2,0,0,10000000,0,0,0
0.418,0.836,0,2,0,0,10000000,0,0,0
0.42,0.84,0,2,0,0,10000000,0,0,0
0.422,0.844,0,2,0,0,10000000,0,0,0
0.424,0.848,0,2,0,0,10000000,0,0,0
0.426,0.852,0,2,0,0,10000000,0,0,0
0.428,0.856,0,2,0,0,10000000,0,0,0
0.43,0.86,0,2,0,0,10000000,0,0,0
0.432,0.864,0,2,0,0,10000000,0,0,0
0.434,0.868,0,2,0,0,10000000,0,0,0
0.436,0.872,0,2,0,0,10000000,0,0,0
0.438,0.876,0,2,0,0,10000000,0,0,0
0.44,0.88,0,2,0,0,10000000,0,0,0
0.442,0.884,0,2,0,0,10000000,0,0,0
0.444,0.888,0,2,0,0,10000000,0,0,0
0.446,0.892,0,2,0,0,10000000,0,0,0
0.448,0.896,0,2,0,0,10000000,0,0,0
0.45,0.9,0,2,0,0,10000000,0,0,0
0.452,0.904,0,2,0,0,10000000,0,0,0
0.454,0.908,0,2,0,0,10000000,0,0,0
0.456,0.912,0,2,0,0,10000000,0,0,0
0.458,0.916,0,2,0,0,10000000,0,0,0
0.46,0.92,0,2,0,0,10000000,0,0,0
0.462,0.924,0,2,0,0,10000000,0,0,0
0.464,0.928,0,2,0,0,10000000,0,0,0
0.466,0.9320000000000001,0,2,0,0,10000000,0,0,0
0.468,0.9360000000000001,0,2,0,0,10000000,0,0,0
0.47,0.9399999999999999,0,2,0,0,10000000,0,0,0
0.472,0.944,0,2,0,0,10000000,0,0,0
0.474,0.948,0,2,0,0,10000000,0,0,0
0.476,0.952,0,2,0,0,10000000,0,0,0
0.478,0.956,0,2,0,0,10000000,0,0,0
0.48,0.96,0,2,0,0,10000000,0,0,0
0.482,0.964,0,2,0,0,10000000,0,0,0
0.484,0.968,0,2,0,0,10000000,0,0,0
0.486,0.972,0,2,0,0,10000000,0,0,0
0.488,0.976,0,2,0,0,10000000,0,0,0
0.49,0.98,0,2,0,0,10000000,0,0,0
0.492,0.984,0,2,0,0,10000000,0,0,0
0.494,0.988,0,2,0,0,10000000,0,0,0
0.496,0.992,0,2,0,0,10000000,0,0,0
0.498,0.996,0,2,0,0,10000000,0,0,0
0.5,1,0,2,0,0,10000000,0,0,0
0.502,1.004,0,2,0,0,10000000,0,0,0
0.504,1.008,0,2,0,0,10000000,0,0,0
0.506,1.012,0,2,0,0,10000000,0,0,0
0.508,1.016,0,2,0,0,10000000,0,0,0
0.51,1.02,0,2,0,0,10000000,0,0,0
0.512,1.024,0,2,0,0,10000000,0,0,0
0.514,1.028,0,2,0,0,10000000,0,0,0
0.516,1.032,0,2,0,0,10000000,0,0,0
0.518,1.036,0,2,0,0,10000000,0,0,0
0.52,1.04,0,2,0,0,10000000,0,0,0
0.522,1.044,0,2,0,0,10000000,0,0,0
0.524,1.048,0,2,0,0,10000000,0,0,0
0.526,1.052,0,2,0,0,10000000,0,0,0
0.528,1.056,0,2,0,0,10000000,0,0,0
0.53,1.06,0,2,0,0,10000000,0,0,0
0.532,1.064,0,2,0,0,10000000,0,0,0
0.534,1.068,0,2,0,0,10000000,0,0,0
